ANNEE,NSEM,DEBUT,REGION,DISTRICT,POP,Méningite Cas,Méningite Décès,Méningite Létalité (%),Méningite Tx Attaque ,Rougeole Cas,Rougeole Décès,Rougeole Létalité (%),Diarrhée sanguinolente Cas,Diarrhée sanguinolente Décès,"Diarrhée sanguinolente Létalité
 (%)",Choléra Cas,Choléra Décès,"Choléra Létalité 
(%)",Ictère Fébrile Cas,Ictère Fébrile Décès,"Ictère Fébrile Létalité 
(%)",Paralysies Flasques Aiguës Cas,Paralysies Flasques Aiguës Décès,"Paralysies Flasques Aiguës Létalité
 (%)",Tétanos Neo natal Cas,Tétanos Neo natal Décès,"Tétanos Neo natal Létalité 
(%)",Ver de Guinée Notifié,Ver de Guinée Isolé,Syndromes Grippaux cas,Infection Respiratoire Aigüe Sévère cas,Infection Respiratoire Aigüe Sévère décès,Infection Respiratoire Aigüe Sévère Létalité (%),Palu Simple Cas,Paludisme Grave Cas,Paludisme Grave Décès,"Paludisme Grave Létalité
 (%)",Dengue Cas,Dengue Probables,Dengue Décès,"Dengue Létalité
(%)",Décès maternel Institution,Décès maternel Communauté,Décès néonatal Institution,Décès néonatal Communauté,Covid-19  Cas ,Covid-19  décès ,"Covid-19  Létalité
 (%)",Charbon  Cas ,Charbon  décès ,"Charbon  Létalité
 (%)", Grippe humaine due à un nouveau sous type  Cas, Grippe humaine due à un nouveau sous type  décès ," Grippe humaine due à un nouveau sous type  Létalité
 (%)",Maladie à virus Ebola Cas,Maladie à virus Ebola décès ,"Maladie à virus Ebola Létalité
 (%)",Fièvre de Lassa Cas,Fièvre de Lassa décès ,"Fièvre de Lassa Létalité
 (%)",Maladie à virus Zika Cas ,Maladie à virus Zika décès,"Maladie à virus Zika Létalité
 (%)",Fièvre de la Vallé du Rift Cas ,Fièvre de la Vallé du Rift décès ,"Fièvre de la Vallé du Rift Létalité
 (%)",Transmission FS Publiques TLOH Attendus,Transmission FS Publiques TLOH Reçus,Transmission FS Publiques TLOH Reçus à Temps,"Taux Publique Complétude
(%)","Taux Publique Promptitude
(%)",Transmission FS Privées TLOH Attendus,Transmission FS Privées TLOH Reçus,Transmission FS Privées TLOH Reçus à Temps,"Taux Privé Complétude
(%)","Taux Privé Promptitude
(%)"
2020,1,30-Dec-2019,Cascades ,Banfora,437097,1,0,0.0%,0.2,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,3,0,0.0%,3481,102,1,1.0%,0,0,0,0.0%,4,0,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,44,44,44,100%,100%,20,20,20,100%,100%
2020,1,30-Dec-2019,Cascades ,Mangodara,256489,0,0,0.0%,0.0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,0,0.0%,3686,164,0,0.0%,0,0,0,0.0%,1,0,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,26,26,26,100%,100%,,,,0%,0%
2020,1,30-Dec-2019,Cascades ,Sindou,187100,0,0,0.0%,0.0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,1,0,0.0%,1253,115,1,0.9%,0,0,0,0.0%,2,0,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,32,32,32,100%,100%,1,0,0,0%,0%
2020,1,30-Dec-2019,Centre   ,Baskuy,349273,0,0,0.0%,0.0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,1,0,0,0.0%,604,111,1,0.9%,0,0,0,0.0%,2,0,1,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,12,12,12,100%,100%,57,10,10,18%,18%
2020,1,30-Dec-2019,Centre   ,Bogodogo,929403,1,0,0.0%,0.1,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,1,0,0.0%,0,0,0.0%,0,0,64,7,0,0.0%,2900,203,3,1.5%,42,11,0,0.0%,0,0,5,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,53,53,53,100%,100%,90,22,22,24%,24%
2020,1,30-Dec-2019,Centre   ,Boulmiougou,1031732,1,0,0.0%,0.1,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,1,0,0.0%,2949,160,0,0.0%,21,10,0,0.0%,1,0,4,1,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,42,42,42,100%,100%,85,48,48,56%,56%
2020,1,30-Dec-2019,Centre   ,Nongr-Massom,394045,0,0,0.0%,0.0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,0,0.0%,1236,186,0,0.0%,5,3,0,0.0%,0,0,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,15,15,15,100%,100%,51,41,41,80%,80%
2020,1,30-Dec-2019,Centre   ,Sig-Nonghin,375922,0,0,0.0%,0.0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,0,0.0%,1684,128,0,0.0%,10,10,0,0.0%,0,0,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,24,24,24,100%,100%,51,30,30,59%,59%
2020,1,30-Dec-2019,Centre-Est ,Bittou,143098,0,0,0.0%,0.0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,0,0.0%,1114,43,0,0.0%,0,0,0,0.0%,0,0,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,12,12,12,100%,100%,2,2,2,100%,100%
2020,1,30-Dec-2019,Centre-Est ,Garango,237955,0,0,0.0%,0.0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,0,0.0%,2025,22,0,0.0%,0,0,0,0.0%,0,0,1,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,27,27,27,100%,100%,5,5,5,100%,100%
2020,1,30-Dec-2019,Centre-Est ,Koupéla,265681,0,0,0.0%,0.0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,0,0.0%,1639,86,0,0.0%,0,0,0,0.0%,0,0,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,30,30,30,100%,100%,6,6,6,100%,100%
2020,1,30-Dec-2019,Centre-Est ,Ouargaye,397627,0,0,0.0%,0.0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,0,0.0%,3045,62,1,1.6%,0,0,0,0.0%,0,0,1,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,35,32,32,91%,91%,4,4,4,100%,100%
2020,1,30-Dec-2019,Centre-Est ,Pouytenga,229212,0,0,0.0%,0.0,1,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,0,0.0%,1381,65,0,0.0%,2,1,0,0.0%,0,0,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,22,22,22,100%,100%,5,5,5,100%,100%
2020,1,30-Dec-2019,Centre-Est ,Tenkodogo,261732,0,0,0.0%,0.0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,10,12,0,0.0%,2104,107,4,3.7%,0,0,0,0.0%,1,0,2,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,35,35,35,100%,100%,5,5,5,100%,100%
2020,1,30-Dec-2019,Centre-Est ,Zabré,169505,0,0,0.0%,0.0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,0,0.0%,1688,76,0,0.0%,1,1,0,0.0%,0,0,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,15,15,15,100%,100%,3,3,3,100%,100%
